BashRC Sourced
00:01:47 | Processed Slot: 1723 | Confirmed Slot: 1723 | Finalized Slot: 1691 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1742 | ◎499.991475000
00:01:48 | Processed Slot: 1724 | Confirmed Slot: 1724 | Finalized Slot: 1692 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1743 | ◎499.991470000
00:01:48 | Processed Slot: 1725 | Confirmed Slot: 1725 | Finalized Slot: 1693 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1744 | ◎499.991465000
00:01:48 | Processed Slot: 1725 | Confirmed Slot: 1725 | Finalized Slot: 1693 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1744 | ◎499.991465000
00:01:48 | Processed Slot: 1726 | Confirmed Slot: 1726 | Finalized Slot: 1694 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1745 | ◎499.991460000
00:01:49 | Processed Slot: 1726 | Confirmed Slot: 1726 | Finalized Slot: 1694 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1745 | ◎499.991460000
00:01:49 | Processed Slot: 1727 | Confirmed Slot: 1727 | Finalized Slot: 1695 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1746 | ◎499.991455000
00:01:49 | Processed Slot: 1728 | Confirmed Slot: 1728 | Finalized Slot: 1696 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1747 | ◎499.991450000
00:01:49 | Processed Slot: 1728 | Confirmed Slot: 1728 | Finalized Slot: 1696 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1747 | ◎499.991450000
00:01:50 | Processed Slot: 1729 | Confirmed Slot: 1729 | Finalized Slot: 1697 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1748 | ◎499.991445000
00:01:50 | Processed Slot: 1730 | Confirmed Slot: 1730 | Finalized Slot: 1698 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1749 | ◎499.991440000
00:01:50 | Processed Slot: 1730 | Confirmed Slot: 1730 | Finalized Slot: 1698 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1749 | ◎499.991440000
00:01:50 | Processed Slot: 1731 | Confirmed Slot: 1731 | Finalized Slot: 1699 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1750 | ◎499.991435000
00:01:51 | Processed Slot: 1731 | Confirmed Slot: 1731 | Finalized Slot: 1699 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1750 | ◎499.991435000
00:01:51 | Processed Slot: 1732 | Confirmed Slot: 1732 | Finalized Slot: 1700 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1751 | ◎499.991430000
00:01:51 | Processed Slot: 1733 | Confirmed Slot: 1732 | Finalized Slot: 1701 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1752 | ◎499.991430000
00:01:51 | Processed Slot: 1733 | Confirmed Slot: 1733 | Finalized Slot: 1701 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1752 | ◎499.991425000
00:01:52 | Processed Slot: 1734 | Confirmed Slot: 1734 | Finalized Slot: 1702 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1753 | ◎499.991420000
00:01:52 | Processed Slot: 1734 | Confirmed Slot: 1734 | Finalized Slot: 1702 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1753 | ◎499.991420000
00:01:52 | Processed Slot: 1735 | Confirmed Slot: 1735 | Finalized Slot: 1703 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1754 | ◎499.991415000
00:01:52 | Processed Slot: 1736 | Confirmed Slot: 1736 | Finalized Slot: 1704 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1755 | ◎499.991410000
00:01:53 | Processed Slot: 1736 | Confirmed Slot: 1736 | Finalized Slot: 1704 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1755 | ◎499.991410000
00:01:53 | Processed Slot: 1737 | Confirmed Slot: 1737 | Finalized Slot: 1705 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1756 | ◎499.991405000
00:01:53 | Processed Slot: 1737 | Confirmed Slot: 1737 | Finalized Slot: 1705 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1756 | ◎499.991405000
00:01:53 | Processed Slot: 1738 | Confirmed Slot: 1738 | Finalized Slot: 1706 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1757 | ◎499.991400000
00:01:54 | Processed Slot: 1739 | Confirmed Slot: 1739 | Finalized Slot: 1707 | Full Snapshot Slot: 1702 | Incremental Snapshot Slot: - | Transactions: 1758 | ◎499.991395000
